id,owner,path,category,checksum,lastUpdated,dependsOn
table_reasoning_rules,"koda-retrieval","retrieval/table_reasoning_rules.any.json",retrieval,a4b7b509d5d8fc5d9fd47246d288a78c1434569cab1843771880af3e7101a4d5,2026-03-13,"field_lock_patterns"
row_column_disambiguation,"koda-retrieval","retrieval/row_column_disambiguation.any.json",retrieval,e2315aaca86fea844374d4456c62b88a98e991941b8b878594374633248aafab,2026-03-13,"table_reasoning_rules"
cross_doc_synthesis_rules,"koda-retrieval","retrieval/cross_doc_synthesis_rules.any.json",retrieval,d6bb09af6643689c8049ebe38cdf148349920ccbc09bf3a6c64068b598226b37,2026-03-13,"evidence_binding_contract | table_reasoning_rules"
evidence_packaging_strategies,"koda-retrieval","retrieval/evidence_packaging_strategies.any.json",retrieval,afc9cac34f8895bf4a5ea1ed2f1b460aede06bd346669a0029c3eeaaa349340e,2026-03-13,"cross_doc_synthesis_rules"
field_exactness_rules,"koda-validation","validation/field_exactness_rules.any.json",quality,58461abed2737852a14ef48b6f1b9d949711256794c238a1bd6f671d0770d316,2026-03-13,"fact_type_requirements_expanded"
claim_strength_matrix,"koda-validation","validation/claim_strength_matrix.any.json",quality,b835d0580862cc599184751014b29fa376bc926e80e28f87a811fd7594ba0667,2026-03-13,"field_exactness_rules"
fact_type_requirements_expanded,"koda-validation","validation/fact_type_requirements_expanded.any.json",quality,91c4fefc648d7d0c9e1b8fbbdb81eba18edb9069cf40499cb77d74f43b269931,2026-03-13,"fact_type_requirements"
conflict_resolution_rules,"koda-validation","validation/conflict_resolution_rules.any.json",quality,27bf0397fba3ab1446a1a8c85326740109e46f72a48784c6451e8e852cf9d99b,2026-03-13,"field_exactness_rules | claim_strength_matrix"
table_integrity_rules,"koda-validation","validation/table_integrity_rules.any.json",quality,05b57ff8e1c0b6310cc4cb75e742bacc1f781d96254b80a6682aca61e443b256,2026-03-13,"table_reasoning_rules"
finance_domain_writer,"domain-brain","document_intelligence/domains/finance/domain_writer.any.json",semantics,fd653d8d465850e38b698e2aeb85ccad515685af1e0a960ba306ee6be68a86c5,2026-03-13,"finance_doc_logic | finance_kpi_ontology | di_finance_domain_profile"
finance_ambiguity_patterns,"domain-brain","document_intelligence/domains/finance/ambiguity_patterns.any.json",ambiguity,175864a009a45bffe9dd1604ecba569918b7531de5dcaccb6052818940501cfe,2026-03-13,"di_finance_domain_profile | finance_domain_writer"
finance_validation_rules,"domain-brain","document_intelligence/domains/finance/validation_rules.any.json",quality,1cfd401e40229687d90f96a49b18e936ff5137f1191b7e23978ada5ba171e206,2026-03-13,"di_finance_domain_profile | finance_domain_writer"
eval_gold_queries_finance_domain_deepening,"eval-domain-brain","document_intelligence/domains/finance/gold_queries.any.json",tests,44efac2771631b05b52ed4d1e0d1257b8bac25fcf4a4ebd3f1d0ed6fbb765be4,2026-03-13,"finance_domain_writer | finance_validation_rules"
accounting_domain_writer,"domain-brain","document_intelligence/domains/accounting/domain_writer.any.json",semantics,ffd2dce3410fc29e63345b384966dcd6748ea7e8cd05bec5225fcce583950751,2026-03-13,"accounting_rules | di_accounting_domain_profile_v2"
accounting_ambiguity_patterns,"domain-brain","document_intelligence/domains/accounting/ambiguity_patterns.any.json",ambiguity,7bdeacf77b814cdeab037a3a334e27d7ba0fff89b1d48ff1506005aa8e6ca3f8,2026-03-13,"di_accounting_domain_profile_v2 | accounting_domain_writer"
accounting_validation_rules,"domain-brain","document_intelligence/domains/accounting/validation_rules.any.json",quality,8db0288b701f6e6ce7849fd3ecd668ae8805453b92159463e7839cc83b6103c1,2026-03-13,"di_accounting_domain_profile_v2 | accounting_domain_writer"
eval_gold_queries_accounting_domain_deepening,"eval-domain-brain","document_intelligence/domains/accounting/gold_queries.any.json",tests,304346c9b90de847626e4958437e0f997fb4fb7794af1a1e4eca31e11be01d32,2026-03-13,"accounting_domain_writer | accounting_validation_rules"
legal_domain_writer,"domain-brain","document_intelligence/domains/legal/domain_writer.any.json",semantics,fbf79114615ac0b024f47a5ba6ff855b21911848eb20651ea5841e2a6105d00c,2026-03-13,"legal_domain_profile"
legal_ambiguity_patterns,"domain-brain","document_intelligence/domains/legal/ambiguity_patterns.any.json",ambiguity,c28d978b32dd40c7cfee1f7cbc9767fd5e8e70e2878a85685a628bf8de068b66,2026-03-13,"legal_domain_profile | legal_domain_writer"
legal_validation_rules,"domain-brain","document_intelligence/domains/legal/validation_rules.any.json",quality,70168c74b499cce6945ce2d7ce1fc94b87b126c3b014db5246d7b324b7fdd877,2026-03-13,"legal_domain_profile | legal_domain_writer"
eval_gold_queries_legal_domain_deepening,"eval-domain-brain","document_intelligence/domains/legal/gold_queries.any.json",tests,5421b3124287b9904b5dd8748428f859e233d3acfef19630150fbe03fa54b37f,2026-03-13,"legal_domain_writer | legal_validation_rules"
medical_domain_writer,"domain-brain","document_intelligence/domains/medical/domain_writer.any.json",semantics,7f04126aea5eb635f72c5f6199b0e26c409423b77d7bee25ab5747ac1d0062b0,2026-03-13,"medical_domain_profile"
medical_ambiguity_patterns,"domain-brain","document_intelligence/domains/medical/ambiguity_patterns.any.json",ambiguity,a2c06a4457b3ebc78c9e1515199656a32163bada9fc7af1245ddd984e91cda69,2026-03-13,"medical_domain_profile | medical_domain_writer"
medical_validation_rules,"domain-brain","document_intelligence/domains/medical/validation_rules.any.json",quality,f5dde000dab577b853bc3e57dc6d2866b3eb5c9cae94a22fd179182f7bd32362,2026-03-13,"medical_domain_profile | medical_domain_writer"
eval_gold_queries_medical_domain_deepening,"eval-domain-brain","document_intelligence/domains/medical/gold_queries.any.json",tests,ce2c5db7e173fb77c1c13fdad4e0211536c5146f5f13f854fdfe472b5bcc59fc,2026-03-13,"medical_domain_writer | medical_validation_rules"
ops_domain_writer,"domain-brain","document_intelligence/domains/ops/domain_writer.any.json",semantics,06dc2891d7492cc9a7d81717415e4250194fb3ce6615009b82e9e78bcac06394,2026-03-13,"di_ops_domain_profile | ops_kpi_ontology | ops_doc_logic"
ops_ambiguity_patterns,"domain-brain","document_intelligence/domains/ops/ambiguity_patterns.any.json",ambiguity,bc7b4ab0b8598e210d1f8bebf3e11cc68254bd3a50aff07b8378eb454eae513f,2026-03-13,"di_ops_domain_profile | ops_domain_writer"
ops_validation_rules,"domain-brain","document_intelligence/domains/ops/validation_rules.any.json",quality,729aad82468e8eacfc6bb5e3ec24878f48d4ae1b2d105a467a31c0c0e6f46d3c,2026-03-13,"di_ops_domain_profile | ops_domain_writer"
eval_gold_queries_ops_domain_deepening,"eval-domain-brain","document_intelligence/domains/ops/gold_queries.any.json",tests,de45a9cb6a720cb092ad9d9b340f615291e0750bb2dcfac859f2c290f3f8981d,2026-03-13,"ops_domain_writer | ops_validation_rules"
